CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CF01,CF02,CF04,UQ01,UQ02,UQ03,UQ04,D002_01,D002_02,D002_03,D002_04,D002_05,D002_06,D002_07,D002_08,D002_09,D003,D003_05,D004_99,D005_01,PR01_RV1,PR01_RV2,PR01_RV3,AU01_01,AU01_02,AU02_01,AU03_01,AU04_01,AU05,AU05_01,AU05_02,AU05_03,AU05_04,AU05_05,AU05_05a,AU06_01,AU18_01,AU19_01,AU20_01,AU07_01,AU08_01,AU09,AU09_01,AU09_02,AU09_03,AU09_04,AU09_05,AU09_06,AU10,AU10_01,AU10_02,AU10_03,AU10_04,AU10_05,AU10_06,AU11,AU13,AU14_01,AU14_02,AU16_01,AU16_02,AU16_03,AU16_04,AU16_05,AU16_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
207,,,base,interview,06/09/2021 16:58,,,1,1,1,1,2,3,3,2,2,2,4,3,4,3,2,,20,south africa ,6133d6ceda5d8d0022d8b108,61361b3f24903104f34b1853,61362c7b8b6b18dc41f0b28d,4,3,dont trsut if fully,5 sconds maximum ,5 cm,1,2,1,1,1,1,,should be something only you should have ,it should be quick and not take too long ,it should be somthig small that you can carry aroud ,shouldnt be accessable to the general public ,4,your own pocket ,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,-9,a diamond shaped earing with my initials ,gold ,arrangement ,i would want to perform 2,arrangementt and assembly,i would have to put it on the phone flat and let ot scan for about 5 seconds ,"shape
size
colour
making modle 
numbers",none ,12,82,41,294,70,566,110,7,1182,,06/09/2021 17:18,1,0,8,8,2,2,1.14,14
208,,,base,interview,06/09/2021 16:58,,,1,1,1,1,2,,,,,,,,,,,,,,610d86971b84eca4e578d4ae,61361b3f24903104f34b1853,61362c9608fa7236094b949d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,104,52,,,,,,248,,06/09/2021 17:02,0,0,3,3,0,0,0.54,0
209,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,,,,,,,,,,,,,,6122d51194e4c57e56dacdb5,61361b3f24903104f34b1853,61362ca985c3c4dd3f4a79a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,20,187,,,,,,178,,06/09/2021 17:04,0,0,3,3,0,0,0.93,21
210,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,2,4,5,4,3,5,3,5,4,2,,44,Poland,5f3a84149afb5d69102176af,61361b3f24903104f34b1853,61362c060dd7541245d6becc,4,4,"These objects looks like a good alternative to typical mechanisms, so it's possibile that it will be more safe",60,"Around 4cm, maybe like a half of mobile phone",1,1,1,2,1,1,,I think that object like this will be available to use everywhere,"I think that 60s is enough to make an authentication, more time can make people annoyed","Bigger object will be more difficult to pick up and from the other hand, smaller one will be easier to lost ","When we can put the object in case to our trousers for example, we will have this always next to us and it will be good to don't lost the object",5,It should have a trouser case,4,2,2,2,1,2,1,2,2,1,1,2,1,1,4,1,My object would be in the form of cube,"My object would be a neutral color - beige, black or white",Just one,"Just one, max two",I will use touch or arrangement,I would to touch my object by my finger ,"Safe, no one else can use it, easy in use, fast in use, discreet","No, nothing more",14,26,79,552,56,484,47,2,1260,,06/09/2021 17:20,1,0,8,8,0,0,1.48,28
211,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,6,6,5,6,5,1,6,2,6,1,,25,South Africa,612f515fbb9b262b0ae57022,61361b3f24903104f34b1853,61362c7fb6d306613d7eb697,4,5,"I would definetely consider using the object,because it does sound secure and reliable",5 seconds,3 by 2 cm,1,1,1,2,1,1,,it should be flexible,it has to be faster for it realibility,it has to be potible,in a form of smart cards with stored authentication data,5,Smartcards with stored authentication data or UB keys,3,2,2,1,2,1,1,2,1,1,2,1,2,1,4,1,rectangle,black,4,3,"Touch
configuration
Assembly",touch the forehead of the creature,"location
something you have at the moment(ID)
time
something you know
something you are",no I do not have any remarks thank you,44,167,55,915,76,563,73,14,1785,,06/09/2021 17:30,1,0,8,8,0,0,0.68,0
212,,,base,interview,06/09/2021 16:59,,,1,1,1,1,1,6,5,6,6,6,5,6,5,5,2,,36,United State Of American,61357c85bb96b4d45a0137c3,61361b3f24903104f34b1853,61362cafe116059ae05d2cf5,5,4,I will have it in mind that I have save guide my properties,5,10,1,1,1,2,1,1,,I will be able to access it anywhere,Not too fast not too slow,It should be very small,I love to authenticate anywhere and any point in time.,5,In a mobile device,3,2,2,1,1,2,1,3,2,2,1,1,2,1,4,1,"I will love the diamond, crystal shape.",Skyblue,One,"Just one ""touch""",Touch,I prefer assembly,"Speed
Easy to access
Unique
Top security",None,12,5,32,401,40,367,59,12,928,,06/09/2021 17:14,1,0,8,8,0,0,1.63,73
213,,,base,interview,06/09/2021 16:59,,,1,,,,,,,,,,,,,,,,,,6113a04dceb98d2f4aff1949,61361b3f24903104f34b1853,61362cb14c9475f969518d68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,247,,,,,,,80,,06/09/2021 17:07,0,0,2,2,0,0,0.17,0
214,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,4,5,3,6,6,1,5,2,6,2,,37,South Africa,613497858873ec4086354514,61361b3f24903104f34b1853,61362cc399c3175460f25786,4,4,"I'm not entirely confident in the effectiveness of the technology is yet, but I would give it a try.",3 seconds,5 cm,1,1,1,2,1,1,,an authentication object wouldn't be very useful if you can only use it inside ,i would expect it to be at leat as fast as typing a login password,"it shouldn't be too big and cumbersome, but small enough to carry around with ease",it shouldn't be a burden to carry around,5,in my wallet or in a pocket,1,1,1,2,1,1,1,4,2,2,1,2,2,1,4,1,It should be the shape of a smooth river pebble: about the size of your thumb and two fingers wide.,grey and white,Just two.,Only two., I would like to use touch and arrangement.,I would prefer to use touch only.,The authentication process should be smooth and fast. I want to feel confident that the authentication project is safe to use.,I do not have any other remarks.,184,143,37,438,78,733,92,4,1709,,06/09/2021 17:27,1,0,8,8,0,0,0.77,2
215,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,3,5,3,2,3,6,2,6,2,1,,23,South Afirca ,6131d38967a2fbe76ff19ed4,61361b3f24903104f34b1853,61362cc74f9665481c05897d,4,3,"Its an innovative idea that i am behind but because its an objetc i could easily misplace it, therefore i wouldn't have it as my main form of authentication.",20,10,1,1,1,2,1,1,,it vould be used for entering a building or maybe being outside and making use of something there. Hence it could be for both.,Anything less than 20 seconds is just too short and anything above is just too long.,Anything bigger than this is too big and can easily identified by other people.,a pouch or bag isn't as easy to lose.,4,Maybe it could have its own pouch of sort or a bag just so that I don't easily misplace it.,2,1,2,2,1,1,1,3,2,1,1,2,2,1,4,1,For me I think a small complex shape like a decagon perhaps then i would personalize that by squeshing it.,Red.,3,2,Touch and arrangement ,Turn it once uts been placed then touch something a particular amount of times in a pattern.,"mustnt be too big, must not be too complex to operate, can not be too small too.",none ,37,67,42,395,65,411,65,6,1088,,06/09/2021 17:17,1,0,8,8,0,0,0.99,3
216,,,base,interview,06/09/2021 16:59,,,1,1,1,1,1,3,4,4,2,2,5,2,5,2,1,,25,South Africa,6131eb07a61986b89c9ddaa3,61361b3f24903104f34b1853,61362cd15d612bdd1840da1d,4,5,having one specific authentication account reduces the risk of forgetting and having to remember multiple passwords or pins,10seconds,the size of a human face,1,1,1,2,1,1,,"we uses devices everywhere around us, so both indoors and outdoors would be efficient ",it shouldnt take too long to aunthenticate unless i have forgotten the pin or password,"not too big and not too small, our devices are usually small and portable so theres no need for object sizes to be huge ","make it accessible to anyone, so that we can login from wherever.",4,"in public places such as banks, internet cafe, libraries",1,1,1,1,1,1,2,3,2,2,2,1,1,1,4,1,cubes,red,2,2,touch and assembly,match the cubes to form 1 big cube and then touch the middle cube for the last part of the authentication,"1. security
2. easily accessible to owner
3. should not take too long to assemble
4. not to quick to figure out
5. not too difficult to remember ",maybe just stick to the usual authentication methods and not move to 3D authentication,35,52,40,321,88,558,65,7,1166,,06/09/2021 17:19,1,0,8,8,0,0,0.96,2
217,,,base,interview,06/09/2021 16:59,,,1,1,1,1,2,4,4,2,5,4,4,5,5,5,2,,20,South Africa,61316e09579d43f0348d5d2e,61361b3f24903104f34b1853,61362cd4707514cc5bfbf359,4,4,Having a personalised object allows me to be able to have access to my thing anytime I have it on me. Its the same as walking around with a licence. ,10,Size of a keychain tag or a bank card,1,1,1,2,1,1,,The world is evolving to have technology and authentication access points both indoors and outdoors,This allows enough time to authenticate while also not losing a lot of time. ,Need to ahve something small and portable so that I can take it anywhere,Need something small and protable,5,My wallet/ pocket ,3,2,2,2,1,1,1,3,2,2,2,1,1,1,4,1,A small spherical shape with an attachment on it so that I can identify it easily and attach it to other things. ,Either Matte black or white. ,3,3,"Touch, configuration, arrangement. ",have the configuration setup but rather in a sphere. having sections of the sphere hat move and allow the user to select certain patterns that they only know ,"Reliability
Portability
Easy touch
Good tactile response 
Easily retrievable 
",N/A,31,53,28,238,75,637,64,5,1131,,06/09/2021 17:18,1,0,8,8,0,0,1.13,9
218,,,base,interview,06/09/2021 16:59,,,1,,,,,,,,,,,,,,,,,,61357460a4d1619e8df32bac,61361b3f24903104f34b1853,61362cd6d2abea2a8f20bc8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,32,,06/09/2021 17:00,0,0,2,2,0,0,2.49,75
220,,,base,interview,06/09/2021 17:00,,,1,1,1,1,1,,,,,,,,,,,,,,613148921ee6a45938bfdbda,61361b3f24903104f34b1853,61362ce3b7f38fb7a1889203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,16,110,,,,,,152,,06/09/2021 17:02,0,0,3,3,0,0,1.52,36
221,,,base,interview,06/09/2021 17:00,,,1,1,1,2,1,5,6,2,5,6,1,6,2,6,2,,28,Greece,5d7d6307b008ef00176fdf99,61361b3f24903104f34b1853,61362cfebf04eda831f406d0,5,5,I am really concerned about the current state of passwords,3,same as a lock,1,1,1,1,1,2,everywhere,for extra safety,something like email is used very frequently and it would not be really affordable to wait for a very long time,small object is easy to conceal and carry woth you,being able to carry it with you without having to worry about losing it,5,"pocket, keylock",3,2,2,2,1,1,1,3,1,2,1,2,2,1,4,1,both geometric shapes and animals would be something I would be interested in. ,earthly colors mainly,up to 2,up to 1,as long as it is more secure I would be good with anything.,"rotate parts, assemble","security of software, dependability of mechanism, small size, ease of use, tracking mechanism/retrieval",no,14,43,39,369,91,601,51,4,1212,,06/09/2021 17:20,1,0,8,8,0,0,1.25,14
222,,,base,interview,06/09/2021 17:00,,,1,1,1,1,1,6,6,4,6,6,1,6,2,6,1,,21,south Africa,6134d182408816f4c1284496,61361b3f24903104f34b1853,61362cd51fb6e7236418281b,5,5,"In case i lose my phone or device, no one will be able to use it because they wont know the internal structure of the object that i normally use for authentication. and the chances of losing the object together with the phone will be low. ",30 seconds,5 cm,1,1,1,2,1,1,,Because it is a great idea and it would help keep my phone locked even after someone stole it.,"Because i have deadlines meet and at some point i have to submit an email beofre a certain time, thus i would want it to be fast because sometimes i submit my work at the last minute.",Because i dont want it to be obvious that i use that object for authentication,Because we use bags to keep every important objects that we might need everyday. ,5,"in a bag while in a public transport, at home or anywhere",4,2,2,2,1,2,1,2,1,1,1,2,2,1,4,1,"I would prefer a cube, that can transformed into a certain shape or that can be changed to show different animations, like trees, art ansd more. ",Dark blue,2,2,Touch and configuration,its basically the configuration method added to the cube idea. i would like to rotate the cube to a set of numbers that i know( aligning the numbers) then pressing a small button for authentication. ,"Authenticate in a short time
The object should authenticate without touching the screen.
it should be easy to rotate 
the object shouldnt make a sound at all
",I love the idea of an authenticating object,108,142,53,624,85,604,83,7,1706,,06/09/2021 17:28,1,0,8,8,0,0,0.67,0
223,,,base,interview,06/09/2021 17:00,,,1,1,1,1,2,5,5,4,5,4,3,5,5,5,1,,19,South Africa ,6130cba4a51d7e494fa4aaf5,61361b3f24903104f34b1853,61362cf5c0200f56109ff7f8,5,3,"Having an authentication objects seems ideal however, I'm quite unsure about keeping one around ir having one with me all the time because I'm not sure as to when I will be needing to use the authentication object  ",10seconds,The size of my thumb fingerprint ,1,1,1,2,1,1,,I access my things both outdoors and indoors so having the device work both indoor and outdoor would be perfect  ,I would love for the authentication device to take a short amount of time so I can easily access my email ,I would like for the device to be as small as possibly to make it easy for me to carry around ,Having access no matter where you are ,5,"In schools , libraries and some malls ",1,1,1,1,2,1,1,1,1,1,1,2,1,1,4,1,Cubes,Black or Grey ,4,4,"Touch , Arrangement ,Configuration and Assembly",Touch ,"Security 
Privacy 
Liability 
Functional 
Safe to use",I really want to own an authentication device now,57,66,25,417,70,419,72,11,1137,,06/09/2021 17:19,1,0,8,8,0,0,0.96,6
224,,,base,interview,06/09/2021 17:00,,,1,1,1,1,2,3,5,5,4,4,3,4,4,4,2,,53,USA,5dfb6120451be5888e60c516,61361b3f24903104f34b1853,61362cfb9a7f74a612ae43ac,4,4,"it if works, why not. Seems easy",02-Mar,a penny,1,1,1,2,1,1,,should be the same across all platforms,It is all about convenience,should be small to carry,not sure,3,not sure,2,2,2,1,1,1,1,1,1,1,1,1,1,2,4,1,Anything that is  multitextured and dimential No pref,No preference,02-Mar,01-Feb,"touch, configuration or arrangement",should be one motion so it is easy. such as touch and twist,You are not clear on what this means.  Are you referring to things such as pins and passwords?,You are not clear on what requirements mean in the previous question,23,15,19,121,58,372,56,2,666,,06/09/2021 17:11,1,0,8,8,0,0,2.02,53
225,,,base,interview,06/09/2021 17:00,,,1,,,,,,,,,,,,,,,,,,5f3a84149afb5d69102176af,61361b3f24903104f34b1853,61362c060dd7541245d6becc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,06/09/2021 17:00,0,0,1,1,0,0,3,388
226,,,base,interview,06/09/2021 17:00,,,1,1,1,1,2,1,1,6,3,3,6,1,5,3,1,,31,France,61327bae47b96598898811a1,61361b3f24903104f34b1853,61362d0317638d549fcebd04,3,3,I don't get how it's more practical than my fingerprint,Less than 1 second,About 5 cm,1,1,1,2,1,1,,I login everywhere unless in my shower,"I login several times per day, several times per hour",It should fit in a pocket,It needs to be practical,5,In a bag,3,2,2,1,1,2,1,1,1,2,1,1,1,1,4,1,I was imagining a sort of USB key,Grey or black,Touch and arrangement,Touch or arrangement,Touch some buttons in some specific order,Touch some buttons in a specific order that i can change beforehand,"Be secure
Be easy
Be quick
Be convenient 
But I'd probably loose it iafter 3 days",It seems a bit overcomplicated ,48,39,20,144,96,341,65,5,758,,06/09/2021 17:13,1,0,8,8,0,0,1.4,23
227,,,base,interview,06/09/2021 17:00,,,1,1,1,1,1,5,4,4,4,4,3,5,4,5,1,,20,Australia,613474e867fe32b1fc91adbd,61361b3f24903104f34b1853,61362cfeaba7c8f6977051a5,3,2,i am unsure of how secure and trustworthy it may be. whether it would take a lot of time to do before we're able to actually access it.  ,20 seconds ,10cm,1,1,1,2,1,1,,"should be convenient enough to be able to use it anywhere, in case we need it anywhere we may be. ",i dont want to be spending a large amount of time to try logging into my accounts. waste of time.,we do not want it to be excessively big to cause any inconvenience. but not too small where we would lose the object itself. ,Would be a considered more convenient. ,4,public transport or any type of identification variafications needed. ,1,1,1,1,1,1,2,4,2,2,1,2,2,1,4,1,Cube ,"Pastel colours (eg. Beige, lavender)",1,1,Configuration.,"Small attached cubes that are to be orderally coordinated, with or without numbers/letters, correctly to access. ","nothing just allow access. 
from red to green dot light 
for object to evenly coordinate. 
Clicking sound.
lighting up
",no. ,89,41,151,1050,100,758,64,3,2148,,06/09/2021 17:38,1,0,8,8,0,0,0.79,5
228,,,base,interview,06/09/2021 17:00,,,1,1,1,1,2,6,6,6,6,6,5,5,5,5,2,,27,South Africa,613506424a9cfeba4dca7bc0,61361b3f24903104f34b1853,61362c4d4adebc2f1e13b455,2,2,It can easily be stolen and used by someone else if they analyze your movements. ,2,Less than 5cm,1,1,1,2,1,1,,It should require any special environment for use as this would limit it. ,I would not want it to become a burden on time so it would need to be quick. ,It should be easy to handle with one hand. ,It should be easy to access and move around with,4,Key chain,1,1,1,2,1,1,1,4,2,2,1,2,2,1,4,1,Shape of an egg. ,Blue ,One,One,Touch,Point the end of the screen. ,"Easy to use
Light
Aesthetic
Soft surface texture
Small
",No,36,53,22,280,214,1006,76,27,1546,,06/09/2021 17:29,1,0,8,8,0,0,0.89,8
229,,,base,interview,06/09/2021 17:00,,,1,,,,,,,,,,,,,,,,,,61312359198de5c453d3cfb9,61361b3f24903104f34b1853,61362c6db06668512122b789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,61,,,,,,,67,,06/09/2021 17:01,0,0,2,2,0,0,1.87,121
230,,,base,interview,06/09/2021 17:01,,,1,1,1,1,2,5,5,3,6,6,2,5,1,6,1,,20,Portugal,6130d0d8a38a557b01f71dd0,61361b3f24903104f34b1853,61362d2a7a6f9389f282304b,4,4,authentication objects are safer then PIN's,3,3,1,1,1,2,1,1,,we can use our devices everywhere ,it's the maximum amount of time that i spend writting a PIN,an authentication object must be discreet and portable,easier access,5,"public transport, supermarket  ",2,2,2,1,1,1,1,2,1,1,1,2,2,1,4,1,circle,black,2,2,"touch, arrangement",press buttons,"safety 
speed",no,75,56,37,507,94,368,70,3,1210,,06/09/2021 17:21,1,0,8,8,0,0,1.01,8
231,,,base,interview,06/09/2021 17:01,,,1,1,1,1,2,3,4,5,3,3,4,5,6,5,1,,21,south africa,6130ee389ebb2291128c51ec,61361b3f24903104f34b1853,61362d3161e9e7b8e2327c01,2,1,fear of getting my accounts hacked,a minute,size of a stress ball,1,1,2,1,1,1,,to avoid people seeing my passwords in public ,if its too short I wont trust it but if its too long I wont use it ,i wont misplace it easily,its safe,2,in my bag,1,1,1,2,1,1,1,2,2,1,1,1,2,1,4,1,Cube ,Pink,2,1,"Arrangement 
Configuration ",Rubix cube I would configurate it for authentication ,"not visible to the public
stealth
not loud
does not take long
is easily accessible to me ",No,52,34,23,180,298,510,55,6,928,,06/09/2021 17:20,1,0,8,8,0,0,1.18,17
232,,,base,interview,06/09/2021 17:01,,,1,1,1,1,1,6,6,6,6,6,5,6,6,6,5,Missy girly ,24,South Africa ,611e00a06b420159caf71676,61361b3f24903104f34b1853,61362d30e5e177b227d5a3e7,5,4,I feel it's much safer and difficult for someone to easily go through my things in the object ,2seconds ,2.65,2,2,1,2,1,1,,Accessing the phone much easier.,It's easy cause I use my fingerprint scanner ,It should be more smaller for it to be easily accessed ,Gadgets must give us other options,4,The back of the phone. ,3,1,2,1,2,2,1,3,1,2,1,2,2,1,4,1,Square ,Purple,Touch square ,"Touch
Confirguration ",Touch ,Yes,"accessed and faster. 
Reliable 
Convenient ",No,59,73,179,669,130,683,84,6,1747,,06/09/2021 17:32,1,0,8,8,0,0,0.63,0
233,,,base,interview,06/09/2021 17:01,,,1,1,1,1,2,3,5,5,4,4,3,4,4,5,2,,21,Italy,6134dc94716ca802d245c1f0,61361b3f24903104f34b1853,61362d356db7166177eebab4,3,2,"In my opinion a physical object is not as useful as an abstract one. For example, what if I forgot the authenticaction object once arrived in an important meeting ?",4,No more bigger that a coin.,1,2,1,1,1,1,,I would use it at home to be faster in operation.,Nowadays password reminder are so fast.,I would have to carry it with me everywhere.,If utilised it would be an important obkect.,4,In a bag protected by a cover.,1,1,1,1,1,2,1,4,2,2,2,2,1,1,4,1,"It would a little auction, something like a pencil but a bit smaller so that I could always carry it with me and use it with no difficulties.",Silver,No more than 2.,No more than 2.,Touch and Configuration,I would rotate my authentication pencil's top and touch it in a part.,"Comfortability, security, velocity.",no,79,54,41,330,63,596,92,9,1264,,06/09/2021 17:22,1,0,8,8,0,0,0.85,2
234,,,base,interview,06/09/2021 17:01,,,1,1,1,1,2,4,4,6,6,4,4,5,6,6,2,,24,South Africa ,611c0e16a0d3ea33aaab2b42,61361b3f24903104f34b1853,61362d3bb4a63f9862cdf428,1,1,"i would not feel comfortable carrying a device that houses my authentication, i prefer the current method we uses e.g Pins",200,"really small like the size of a plasttic bottle cap, so about 5 centimerts wide and 3 centimerts long",2,2,1,2,1,1,,"depending on where i will be at the time, i will probably have to use it if i have it ","I feel like if you have the object with you, it shouldn't take time ","if i ever decided to get one of these, i'd like it to be portable and out of sight",i want it close to me so no one can steal it ,4,"in my pocket, or bag",1,1,1,2,1,1,1,4,2,2,1,2,2,1,4,1,"Oh well, i would like mine to resumble a weed crusher, a small cylinder like device, all black ofcourse and with a mate finish",Black,The Assembl ymethod looks fun and simple so i would take that one,1,"
4) Assembly","Since mine would be a weed crusher, i would like to assamble the blades inside the crusher, in a certain order for it to work"," - Cut authentication time in half
- make it easier to aunthticate myself
- Save me from constatly forgrettign my login pins
- be portable
- impossible to use by anyone else but me",nope,36,55,77,872,71,736,73,8,1928,,06/09/2021 17:33,1,0,8,8,0,0,0.76,0
235,,,base,interview,06/09/2021 17:01,,,1,1,1,1,1,2,5,5,2,4,5,1,3,4,1,,19,Sweden,60fd172159756b8a8ef253fa,61361b3f24903104f34b1853,61362d4c14beefa21dd98795,4,4,It sounds interesting and secure. ,7,5x5 centimeters,1,2,1,1,1,1,,I cant lose it if im indoors,Perfect amount of time to not get irritated or distracted. ,It has to fit in a pocket,"It needs to be practical to take it with you, like keys on a keychain. ",5,"In pocket, bag, round your neck, on your keychain. ",2,2,1,2,1,1,1,3,1,2,1,2,2,1,4,1,I would want a small circle that is about 5 centimeters in diameter and maybe 1-2 centimeters in thickness. ,"I would like my object to be blue, back or white. ",3,2,"Touch, Configuration",Press a button and rotate some part of the object,I don't understand the question. ,No,13,33,36,217,58,443,62,2,864,,06/09/2021 17:16,1,0,8,8,0,0,1.64,32
236,,,base,interview,06/09/2021 17:01,,,1,1,1,1,2,2,3,5,3,3,6,2,6,3,1,,22,United States,6111f0e7ec5e03966bf7dbea,61361b3f24903104f34b1853,61362d452b2db5911c60bef5,3,3,I would need more information about how it's used etc.,10 seconds,5 centimeters,1,1,1,2,1,1,,"I have my device everywhere, so I would need it everywhere.","If I want to log in somewhere, I don't want it taking up too much time.","Not so small I could easily lose it, no so big that it's a hassel to carry.","easy to find, easy to use",5,A carrying case like air pods,2,1,2,2,1,1,1,1,2,1,1,1,1,1,4,1,Classic cube,black/white,2,1,touch and arrangement,flip it inward,"quick
easy
safe from hackers
not complicated
can have multiple authentications, like fingerprints on iphones, so that my friend/family member could get authorized if theye needed",no,34,48,21,221,85,561,71,8,1049,,06/09/2021 17:19,1,0,8,8,0,0,1.15,12
237,,,base,interview,06/09/2021 17:01,,,1,,,,,,,,,,,,,,,,,,61360acd1cc499741fce280e,61361b3f24903104f34b1853,61362d4f9de571f5fb7eb267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,115,,,,,,,142,,06/09/2021 17:04,0,0,2,2,0,0,0.84,7
238,,,base,interview,06/09/2021 17:02,,,1,1,1,1,1,4,5,2,4,5,2,5,3,4,1,,31,United States of America,6134e1f5cd9a81afd528c4bc,61361b3f24903104f34b1853,61362d5ce9fe0613ea071cda,5,5,Yes I would use it as my main form of authentication because it provides security on my device. ,20secs,1,1,1,1,2,1,1,,Should be used both indoors and outdoors. ,Because it's very fast. ,Should be a small piece. ,Because it is safe there too,4,In the office,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,Pentagon,Pink,5,4,"Touch
Arrangement
Assembly
Configuration","I would touch it, arrange it, rotate it. ","Fast
Secure
Durability
Responsive
Identification
",No,169,104,52,392,78,797,144,4,1740,,06/09/2021 17:31,1,0,8,8,0,0,0.72,2
239,,,base,interview,06/09/2021 17:02,,,1,2,1,1,2,,,,,,,,,,,,,,6135deea81fadb099e19b380,61361b3f24903104f34b1853,61362d67e4e2c37452d081db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,154,,,,,,98,,06/09/2021 17:05,0,0,3,3,0,0,1.24,24
240,,,base,interview,06/09/2021 17:02,,,1,1,1,1,1,4,5,3,5,5,2,4,2,6,1,,27,South Africa,6135d143feb61df9e908b056,61361b3f24903104f34b1853,61362d6bad00547854717921,2,2,It is too easy to forget to have the item at hand.,15,1x1x12cm - pencil shaped for example,1,1,1,2,1,1,,Security is a requirement everywhere,I usually need checking things to be quick so something too slow will be a nuisance ,I would like it to be disguisable as a regular object to prevent theft ,It must be convenient to carry and concealable,5,On a keychain or in a handbag/purse/wallet,2,1,1,2,1,2,1,1,2,1,1,1,1,1,4,1,Ideally the shape of a pencil or credit card,"Red, this is a common colour of stationery and bank cards",I would only want to use one interaction per authentication but would use any of the five,I would only want to use one interaction per authentication but would use any of the five,"Touch, arrangement, and configuration interactions would be the quickest and could be used in combination",If my object was a pen I would like to twist the shaft of the pen and then click the top,"Time
Speed
Accuracy
Identity
Safe",I think this would be a very useful idea if the object could be created to look like an every day item like stationery,63,85,49,204,53,688,94,5,1241,,06/09/2021 17:22,1,0,8,8,0,0,0.97,8
241,,,base,interview,06/09/2021 17:02,,,1,1,1,2,1,2,2,4,2,2,5,2,5,4,1,,28,Mexico,61293e86bf1512d7b7a4e2a1,61361b3f24903104f34b1853,61362d62f9ddd5efa1997f41,4,2,I'd be afraid of losing it ,Less than 30 seconds,Not bigger than the cap of a bottle,1,2,1,1,1,1,,I wouldn't take it out much because I wouldn't want to lose it,"Nowadays, we lack of patience and want our devices to respond immediately",To be able to keep it in your pocket ,"I feel it's safe and discreet, and it can't fall so easily",5,I would like to be able to hang it from my neck with a cord ,3,2,2,2,1,1,1,3,2,2,2,1,1,1,4,1,I'd like it to have the shape of a coin but a little bit thicker,"Black, silver and red",3,2,Touch and arrangement,"I would like a small object, coin-shaped with 5 small buttons which I would press (only some of them) in order to authenticate","Fast to use
Simple mechanism
Only one piece (doesn't require assembling)
Pretty to watch
Smooth",I'd really like something to help me from loosing it,64,53,60,273,53,530,63,5,1101,,06/09/2021 17:20,1,0,8,8,0,0,1,5
242,,,base,interview,06/09/2021 17:02,,,1,1,1,1,2,4,5,3,5,6,2,4,4,5,1,,24,South Africa ,61312359198de5c453d3cfb9,61361b3f24903104f34b1853,61362c6db06668512122b789,4,4,I just feel that it will be safer and will be a lot less hassle if I csn just use one specific account. ,40-55 seconds max,It should be the size of a lipstick or bank card. ,2,1,1,2,1,2,Anywhere in the world,There should be no limits on such a useful item or it will not always be so useful. ,Sometimes I am in a rush and I don't have time to wait for the authentication process to finish. The quicker the more convenient. ,"It is small and fits in anywhere and not easily visible, do chances of it getting stolen is smaller. ","It's still near you, but not a nuisance or in constant threat of getting damaged. ",4,"It should be able to attach to you clothing, or fit in jou wallet. ",4,2,1,2,2,2,1,1,1,2,1,1,1,1,4,1,"It should be as flat as a bankcard, but a little more square in form. ","The writing or form must be in gold and the outlines of the card, but the rest of the card must be black. ",2,2,Touch and configuration,I like the configuration because it will be like a numbers lock that only the user knows the code to and then after you configure it you can just place it on the screen. ,"1. It needs to be safe to use and not hackable. 
2. Easy to use
3. Easy to carry with me.
4. Will not break easily.
5. Will last for a long time without having to be replaced every 2 or so years. ",No. ,2,10,5,448,61,667,73,5,1271,,06/09/2021 17:23,1,0,8,8,0,0,1.72,132
